Timestamp,Open,High,Low,Close,Volume
1730966400000,74757.58000000,75150.11000000,74649.54000000,74746.00000000,3766.42463000
1730980800000,74745.99000000,76059.69000000,74512.19000000,76059.69000000,7599.95000000
1730995200000,76059.68000000,76718.99000000,75555.17000000,76530.39000000,13850.28342500
1731009600000,76530.40000000,76849.99000000,75494.00000000,75857.89000000,7047.39707000
1731024000000,75857.89000000,76358.00000000,75555.00000000,75890.79000000,4416.57747000
1731038400000,75890.79000000,76220.00000000,75686.00000000,76148.49000000,5001.36124000
1731052800000,76148.49000000,76320.00000000,75760.00000000,75934.46000000,3321.24860000
1731067200000,75934.47000000,76584.60000000,75630.76000000,76427.72000000,9261.36209000
1731081600000,76427.72000000,77199.99000000,75822.07000000,76912.58000000,9446.86370300
1731096000000,76912.58000000,77097.00000000,76300.23000000,76509.78000000,5073.68648000
1731110400000,76509.78000000,76639.84000000,76136.00000000,76341.47000000,2498.29713000
1731124800000,76341.47000000,76795.69000000,76294.00000000,76529.08000000,2824.88315000
1731139200000,76529.07000000,76735.59000000,76358.91000000,76487.11000000,1956.64753000
1731153600000,76487.11000000,76541.53000000,76272.72000000,76319.90000000,2576.33768000
1731168000000,76319.91000000,76700.00000000,75714.66000000,76204.92000000,3958.68374000
1731182400000,76204.91000000,76900.00000000,76179.00000000,76677.46000000,3127.22992000
1731196800000,76677.46000000,77498.00000000,76492.00000000,77205.96000000,6237.46496500
1731211200000,77205.97000000,79788.96000000,77138.00000000,78832.37000000,15561.72550200
1731225600000,78832.36000000,80040.00000000,78832.36000000,79844.01000000,7359.55607200
1731240000000,79844.00000000,80080.00000000,79200.00000000,79694.03000000,9016.63483000
1731254400000,79694.03000000,81069.99000000,79324.59000000,79748.99000000,11314.76736100
1731268800000,79748.99000000,81500.00000000,78473.13000000,80370.01000000,12339.95170500
1731283200000,80370.01000000,81846.71000000,80216.01000000,81612.23000000,7866.79820200
1731297600000,81612.23000000,81727.47000000,80432.00000000,81109.10000000,6018.85178000
1731312000000,81109.11000000,82380.94000000,81023.29000000,82134.00000000,8046.62546100
1731326400000,82133.99000000,84263.51000000,81460.19000000,84059.54000000,17558.06217600
1731340800000,84059.53000000,86650.00000000,83831.84000000,86102.21000000,19271.65533400
1731355200000,86102.21000000,89530.54000000,86052.00000000,88647.99000000,23561.67282300
1731369600000,88648.00000000,89470.00000000,86561.35000000,88047.46000000,19452.23586000
1731384000000,88047.45000000,89940.00000000,87700.00000000,88983.35000000,13408.12221100
1731398400000,88983.35000000,89372.00000000,85229.00000000,87155.55000000,21526.29235000
1731412800000,87155.55000000,87860.00000000,85072.00000000,86632.00000000,19109.59223000
1731427200000,86632.00000000,89764.38000000,85730.35000000,88704.28000000,14486.43433000
1731441600000,88704.28000000,89876.94000000,87379.59000000,87952.01000000,9317.21093000
1731456000000,87952.00000000,88562.94000000,87004.00000000,87136.00000000,10008.61890000
1731470400000,87136.00000000,87692.69000000,86127.99000000,87356.00000000,9544.53162000
1731484800000,87356.01000000,88083.00000000,87082.42000000,87669.39000000,6000.39557000
1731499200000,87669.40000000,92690.00000000,87502.49000000,92540.01000000,25126.84948300
1731513600000,92540.00000000,93265.64000000,89969.87000000,90193.51000000,22766.28395400
1731528000000,90193.50000000,91184.02000000,87970.98000000,90375.20000000,13317.17460000
1731542400000,90375.21000000,90566.00000000,89458.13000000,89937.02000000,7354.10555000
1731556800000,89937.03000000,90850.00000000,89104.54000000,90769.42000000,6197.35157000
1731571200000,90769.42000000,91657.77000000,90329.80000000,91491.86000000,8132.00542000
1731585600000,91491.85000000,91790.00000000,87829.57000000,87947.99000000,15118.04370000
1731600000000,87947.99000000,89775.24000000,87526.74000000,89463.99000000,8531.95926000
1731614400000,89463.99000000,89464.00000000,86668.21000000,87325.59000000,11396.04536000
1731628800000,87325.59000000,88473.70000000,87252.00000000,88218.21000000,6032.52190000
1731643200000,88218.22000000,88391.99000000,87073.38000000,87612.00000000,6883.97605000
1731657600000,87612.01000000,89771.99000000,87368.00000000,89741.25000000,6640.45850000
1731672000000,89741.24000000,90709.74000000,87754.45000000,88445.41000000,11903.82559000
1731686400000,88445.40000000,90844.90000000,88386.99000000,90377.89000000,8672.84127000
1731700800000,90377.89000000,91850.00000000,90324.85000000,91032.07000000,7794.32737000
1731715200000,91032.08000000,91709.06000000,90850.00000000,91252.03000000,4249.95392000
1731729600000,91252.04000000,91779.66000000,91064.24000000,91117.53000000,3028.27512000
1731744000000,91117.52000000,91598.13000000,90993.15000000,91169.69000000,3972.70297000
1731758400000,91169.69000000,91320.00000000,90056.17000000,90521.20000000,5422.19653000
1731772800000,90521.20000000,91396.03000000,90186.64000000,91100.24000000,3466.38119000
1731787200000,91100.23000000,91181.82000000,90300.00000000,90586.92000000,2578.36716000
1731801600000,90587.98000000,90888.00000000,89364.00000000,90247.86000000,4950.72397000
1731816000000,90247.86000000,90888.00000000,90158.56000000,90550.80000000,2974.11564000
1731830400000,90550.80000000,91449.99000000,90478.99000000,90684.19000000,3929.09518000
1731844800000,90684.19000000,91189.88000000,89925.91000000,90260.01000000,4166.81415000
1731859200000,90260.01000000,90640.18000000,89664.34000000,90044.00000000,3112.39163000
1731873600000,90044.00000000,90212.13000000,88722.00000000,89855.99000000,4734.41552000
1731888000000,89855.98000000,90935.44000000,89617.96000000,90668.58000000,3252.23252000
1731902400000,90668.58000000,92300.00000000,90438.85000000,91719.90000000,6378.66485000
1731916800000,91719.90000000,92211.99000000,90051.10000000,90275.13000000,6488.59666000
1731931200000,90275.13000000,92594.00000000,89376.90000000,92309.51000000,12873.97296000
1731945600000,92309.51000000,92584.95000000,89667.66000000,90608.26000000,9954.79626000
1731960000000,90608.26000000,91980.00000000,90224.02000000,90464.08000000,7596.77123000
1731974400000,90464.07000000,91529.00000000,90357.00000000,91428.00000000,3575.26612000
1731988800000,91428.00000000,92000.00000000,91238.09000000,91620.01000000,3893.80469000
1732003200000,91620.00000000,91950.00000000,91200.00000000,91652.02000000,3730.94665000
1732017600000,91652.01000000,92788.00000000,90975.80000000,92391.99000000,13823.62822000
1732032000000,92391.99000000,93905.51000000,92147.12000000,93227.87000000,11450.77730000
1732046400000,93227.87000000,93571.08000000,91320.00000000,92310.79000000,7185.62384000
1732060800000,92310.80000000,92418.68000000,91500.00000000,92039.99000000,4096.22399000
1732075200000,92039.99000000,92851.09000000,91850.00000000,92850.38000000,3477.17855000
1732089600000,92850.38000000,93669.98000000,92720.00000000,93454.65000000,6216.74888000
1732104000000,93454.65000000,94807.62000000,93314.49000000,94739.97000000,12702.54443200
1732118400000,94739.98000000,94831.97000000,93138.00000000,94000.00000000,10761.10690000
1732132800000,94000.00000000,94599.98000000,93770.07000000,94286.56000000,4949.39596000
1732147200000,94286.56000000,95904.00000000,94040.00000000,95798.12000000,9339.05750500
1732161600000,95798.12000000,97852.00000000,95798.11000000,96912.01000000,13220.18381900
1732176000000,96912.01000000,98384.86000000,96723.96000000,97974.99000000,10048.90103000
1732190400000,97975.00000000,98250.00000000,95600.00000000,96672.00000000,16850.11898000
1732204800000,96672.00000000,98988.00000000,96276.69000000,97829.83000000,13009.78113300
1732219200000,97829.84000000,98723.65000000,97533.18000000,98317.12000000,6760.31801000
1732233600000,98317.12000000,99299.99000000,97840.00000000,98836.50000000,7532.47490300
1732248000000,98836.49000000,99419.99000000,98517.21000000,99173.70000000,6632.86560000
1732262400000,99173.70000000,99267.19000000,98219.84000000,98870.38000000,6290.74803000
1732276800000,98870.39000000,98949.00000000,97122.11000000,98664.00000000,11263.93551000
1732291200000,98663.99000000,99588.01000000,98220.00000000,99079.74000000,9541.05621000
1732305600000,99079.74000000,99449.00000000,98535.00000000,98892.00000000,4928.22899000
1732320000000,98892.00000000,98908.85000000,98300.00000000,98666.67000000,3918.31400000
1732334400000,98666.66000000,98800.00000000,98284.61000000,98560.85000000,3360.38068000
1732348800000,98560.84000000,98623.76000000,98300.00000000,98429.99000000,3176.75105000
1732363200000,98430.00000000,98847.68000000,98400.00000000,98400.00000000,4138.68982000
1732377600000,98400.01000000,98459.56000000,97336.06000000,97504.00000000,7486.78427000
1732392000000,97504.00000000,98015.82000000,97136.00000000,97672.40000000,2676.92385000
1732406400000,97672.40000000,98564.00000000,97620.74000000,98200.10000000,3989.58138000
1732420800000,98200.10000000,98431.06000000,97872.20000000,98431.05000000,3583.35015000
1732435200000,98431.05000000,98472.98000000,97239.29000000,97280.03000000,3606.92172000
1732449600000,97280.04000000,97606.52000000,95900.01000000,95901.51000000,9382.31921000
1732464000000,95901.52000000,96747.98000000,95734.77000000,96320.02000000,5662.86960000
1732478400000,96320.01000000,98369.46000000,96195.47000000,97900.04000000,4975.93632000
1732492800000,97900.05000000,98050.00000000,96888.00000000,97898.80000000,3838.26336000
1732507200000,97898.81000000,98376.99000000,97491.66000000,98047.34000000,5230.71565000
1732521600000,98047.34000000,98871.80000000,97850.00000000,98188.09000000,5195.73129000
1732536000000,98188.09000000,98313.08000000,94525.00000000,96000.56000000,14345.48831000
1732550400000,96000.57000000,96500.00000000,94400.00000000,94669.48000000,10283.14008000
